patternID,endDate,actualReturn,mean,variance,median,upside,downside,#searchResults
SP500,2009-09-16,-0.0073824,0.0007798,0.0003477,0.0017378,0.0162766,-0.0184547,600
SP500,2002-07-30,-0.0478633,0.0008577,0.0004722,0.0023984,0.0194147,-0.0203185,600
SP500,2011-03-18,0.0270402,0.0025369,0.0006367,0.0032492,0.0251030,-0.0240293,600
SP500,2004-03-22,0.0247124,-0.0001749,0.0003116,0.0001980,0.0153291,-0.0180770,600
SP500,2005-04-11,-0.0298253,0.0014381,0.0002067,0.0019555,0.0144062,-0.0132000,600
SP500,2009-11-04,0.0496990,0.0018166,0.0004872,0.0019161,0.0215655,-0.0191179,600
SP500,2004-04-28,-0.0007840,0.0014520,0.0003224,0.0023694,0.0185817,-0.0162703,600
SP500,2002-02-07,0.0336150,0.0034780,0.0004613,0.0024073,0.0260837,-0.0164041,600
SP500,2000-02-03,-0.0057124,0.0035941,0.0003535,0.0042468,0.0201010,-0.0151119,600
SP500,2005-09-15,-0.0106782,0.0017001,0.0002439,0.0023185,0.0170845,-0.0149723,600
SP500,2008-07-30,0.0038387,0.0014968,0.0003393,0.0024954,0.0169434,-0.0172908,600
SP500,2010-12-23,0.0006922,0.0006159,0.0002033,0.0015735,0.0136230,-0.0133804,600
SP500,2002-09-26,-0.0421077,0.0029295,0.0008300,0.0051824,0.0276213,-0.0250108,600
SP500,2007-08-01,0.0216126,0.0013568,0.0011811,0.0039015,0.0286357,-0.0265031,600
SP500,2009-10-19,-0.0281991,0.0003886,0.0002711,0.0027292,0.0136150,-0.0180343,600
SP500,2008-06-06,-0.0004777,0.0002467,0.0003461,0.0006410,0.0186889,-0.0190270,600
SP500,2006-04-19,-0.0034506,0.0001283,0.0002498,0.0010496,0.0141419,-0.0163262,600
SP500,2002-03-19,-0.0271728,0.0001782,0.0002555,0.0024361,0.0138905,-0.0178943,600
SP500,2011-03-11,-0.0192214,0.0028355,0.0003060,0.0036727,0.0191012,-0.0152917,600
SP500,2010-12-27,0.0113952,0.0011791,0.0002203,0.0036596,0.0143302,-0.0154714,600
SP500,2007-05-09,0.0010314,0.0009225,0.0002182,0.0032859,0.0136863,-0.0158011,600
SP500,2007-04-04,0.0058568,0.0017844,0.0003439,0.0036488,0.0170698,-0.0167610,600
SP500,2009-11-05,0.0193225,0.0026511,0.0004635,0.0036020,0.0205254,-0.0176654,600
SP500,2002-01-24,-0.0017225,0.0022003,0.0003169,0.0031985,0.0187279,-0.0164489,600
SP500,2003-09-12,0.0173469,0.0014865,0.0003123,0.0020513,0.0189425,-0.0179343,600
SP500,2010-12-09,0.0080049,-0.0000824,0.0004101,0.0016674,0.0185704,-0.0211938,600
SP500,2007-11-27,0.0241978,0.0031475,0.0003843,0.0035169,0.0222164,-0.0167778,600
SP500,2011-12-13,0.0127027,0.0023514,0.0004008,0.0028911,0.0216338,-0.0168692,600
SP500,2004-02-19,-0.0018744,0.0004553,0.0002366,0.0015621,0.0143108,-0.0162436,600
SP500,2004-12-07,0.0223522,0.0003446,0.0002369,0.0015626,0.0136632,-0.0147356,600
SP500,2000-05-12,-0.0098595,0.0027806,0.0003216,0.0035049,0.0191147,-0.0152465,600
SP500,2009-07-09,0.0657769,0.0009142,0.0010192,0.0025582,0.0276574,-0.0249147,600
SP500,2008-01-30,-0.0216550,0.0010424,0.0002572,0.0035473,0.0145406,-0.0158699,600
SP500,2010-05-10,-0.0196512,0.0025291,0.0011493,0.0039100,0.0314634,-0.0254980,600
SP500,2007-12-26,-0.0337193,0.0000100,0.0003232,0.0006215,0.0160845,-0.0173889,600
SP500,2007-08-22,-0.0002117,0.0024876,0.0004361,0.0029268,0.0211040,-0.0166038,600
SP500,2011-08-11,-0.0272803,0.0033673,0.0017129,0.0053115,0.0359877,-0.0296989,600
SP500,2010-07-07,0.0329162,0.0026258,0.0009134,0.0046933,0.0290269,-0.0262160,600
SP500,2001-05-17,0.0036322,0.0008222,0.0003123,0.0010496,0.0167820,-0.0156481,600
SP500,2009-03-20,0.0616754,0.0009392,0.0005453,0.0037307,0.0214751,-0.0232904,600
SP500,2003-07-10,-0.0070497,0.0007905,0.0003253,0.0015797,0.0175632,-0.0170381,600
SP500,2008-02-21,0.0187333,0.0004676,0.0002850,0.0016225,0.0152713,-0.0170346,600
SP500,2009-08-12,-0.0092960,0.0018368,0.0001994,0.0032872,0.0137027,-0.0131837,600
SP500,2010-04-08,0.0212654,0.0010391,0.0002073,0.0021014,0.0140177,-0.0133516,600
SP500,2005-09-02,0.0185055,0.0004438,0.0002105,0.0022280,0.0127634,-0.0145733,600
SP500,2004-08-30,0.0201520,0.0015472,0.0002292,0.0028946,0.0155487,-0.0145429,600
SP500,2003-06-30,0.0342124,0.0008663,0.0003495,0.0016640,0.0185320,-0.0181855,600
SP500,2009-10-30,0.0319537,0.0023361,0.0005447,0.0017514,0.0257000,-0.0208471,600
SP500,2000-08-09,0.0047390,0.0004400,0.0002949,0.0022467,0.0148706,-0.0176684,600
SP500,2009-03-03,0.0334180,0.0043286,0.0014671,0.0050935,0.0355568,-0.0245590,600
SP500,2004-01-26,-0.0174057,0.0028307,0.0001844,0.0043747,0.0148094,-0.0132094,600
SP500,2009-06-12,-0.0264001,-0.0001333,0.0002104,0.0014257,0.0135281,-0.0173482,600
SP500,2008-11-18,-0.0020137,0.0025788,0.0015190,0.0042970,0.0347181,-0.0267186,600
SP500,2000-11-24,-0.0197799,0.0027310,0.0004547,0.0029347,0.0242764,-0.0194459,600
SP500,2002-11-19,0.0184781,0.0001870,0.0004038,0.0008167,0.0185425,-0.0179758,600
SP500,2008-08-06,-0.0026063,0.0005282,0.0003424,0.0021240,0.0166499,-0.0186084,600
SP500,2008-06-20,-0.0300092,0.0017261,0.0003732,0.0015566,0.0211822,-0.0169356,600
SP500,2000-04-27,-0.0377837,0.0017878,0.0003059,0.0022467,0.0187197,-0.0152469,600
SP500,2010-12-14,0.0104785,0.0009828,0.0002070,0.0022524,0.0140311,-0.0137311,600
SP500,2008-03-06,0.0085407,0.0008336,0.0009844,0.0018957,0.0276213,-0.0245580,600
SP500,2007-11-14,-0.0365910,0.0024288,0.0005616,0.0028242,0.0242764,-0.0215266,600
SP500,2005-01-25,0.0179731,0.0028834,0.0003587,0.0033644,0.0219603,-0.0166330,600
SP500,2011-11-08,-0.0141937,0.0026900,0.0006324,0.0042093,0.0249132,-0.0222603,600
SP500,2003-02-13,0.0376818,0.0011380,0.0004749,-0.0005102,0.0230421,-0.0196439,600
SP500,2001-01-03,-0.0254460,0.0006144,0.0003896,0.0016570,0.0188509,-0.0189096,600
SP500,2007-05-25,0.0154711,0.0013328,0.0002183,0.0021354,0.0146815,-0.0144362,600
SP500,2009-10-12,0.0201824,-0.0000938,0.0003598,0.0016712,0.0160548,-0.0208434,600
SP500,2008-02-14,0.0031508,0.0007263,0.0002433,0.0013296,0.0146208,-0.0144355,600
